NumberPrefix,Rate,Description,SubDescription
61434,0.09,AUSTRALIA,Mobile
61435,0.09,AUSTRALIA,Mobile
61437,0.09,AUSTRALIA,Mobile
61438,0.09,AUSTRALIA,Mobile
61439,0.09,AUSTRALIA,Mobile
614444,0.09,AUSTRALIA,Mobile
61447,0.09,AUSTRALIA,Mobile
61448,0.09,AUSTRALIA,Mobile
61449,0.09,AUSTRALIA,Mobile
61450,0.09,AUSTRALIA,Mobile
61451,0.09,AUSTRALIA,Mobile
61457,0.09,AUSTRALIA,Mobile
61458,0.09,AUSTRALIA,Mobile
61459,0.09,AUSTRALIA,Mobile
614660,0.09,AUSTRALIA,Mobile Optus
614661,0.09,AUSTRALIA,Mobile Optus
614662,0.09,AUSTRALIA,Mobile Optus
614663,0.09,AUSTRALIA,Mobile Optus
614664,0.09,AUSTRALIA,Mobile Optus
614665,0.09,AUSTRALIA,Mobile Optus
614666,0.09,AUSTRALIA,Mobile Optus
61467,0.09,AUSTRALIA,Mobile
614685,0.09,AUSTRALIA,Mobile
614686,0.09,AUSTRALIA,Mobile
614687,0.09,AUSTRALIA,Mobile
614688,0.09,AUSTRALIA,Mobile
614689,0.09,AUSTRALIA,Mobile
61487,0.09,AUSTRALIA,Mobile
614880,0.09,AUSTRALIA,Mobile
614881,0.09,AUSTRALIA,Mobile
614882,0.09,AUSTRALIA,Mobile
614883,0.09,AUSTRALIA,Mobile
614884,0.09,AUSTRALIA,Mobile
614885,0.09,AUSTRALIA,Mobile
614886,0.09,AUSTRALIA,Mobile
614887,0.09,AUSTRALIA,Mobile
614889,0.09,AUSTRALIA,Mobile
6173,0.03,AUSTRALIA,Brisbane
61861,0.03,AUSTRALIA,Perth
61862,0.03,AUSTRALIA,Perth
61863,0.03,AUSTRALIA,Perth
61864,0.03,AUSTRALIA,Perth
61865,0.03,AUSTRALIA,Perth
61870,0.03,AUSTRALIA,Adelaide
61871,0.03,AUSTRALIA,Adelaide
61872,0.03,AUSTRALIA,Adelaide
61873,0.03,AUSTRALIA,Adelaide
61874,0.03,AUSTRALIA,Adelaide
61881,0.03,AUSTRALIA,Adelaide
61882,0.03,AUSTRALIA,Adelaide
61883,0.03,AUSTRALIA,Adelaide
61884,0.03,AUSTRALIA,Adelaide
61892,0.03,AUSTRALIA,Perth
61893,0.03,AUSTRALIA,Perth
61894,0.03,AUSTRALIA,Perth
43,0.04,AUSTRIA,Austria
431,0.04,AUSTRIA,Vienna
43644,0.05,AUSTRIA,Mobile Mobilcom
43650,0.05,AUSTRIA,Mobile T Mobile
43651,0.29,AUSTRIA,Mobile
43652,0.29,AUSTRIA,Mobile
43653,0.29,AUSTRIA,Mobile
43655,0.29,AUSTRIA,Mobile
43657,0.29,AUSTRIA,Mobile
43659,0.29,AUSTRIA,Mobile
43660,0.05,AUSTRIA,Mobile Hutchinson
