NumberPrefix,Rate,Description,SubDescription
644367,0.03,NEW ZEALAND,NZ Not Selected
644368,0.03,NEW ZEALAND,NZ Not Selected
644369,0.03,NEW ZEALAND,NZ Not Selected
644370,0.03,NEW ZEALAND,NZ Not Selected
644371,0.03,NEW ZEALAND,NZ Not Selected
644372,0.03,NEW ZEALAND,NZ Not Selected
644373,0.03,NEW ZEALAND,NZ Not Selected
644374,0.03,NEW ZEALAND,NZ Not Selected
644375,0.03,NEW ZEALAND,NZ Not Selected
644376,0.03,NEW ZEALAND,NZ Not Selected
644377,0.03,NEW ZEALAND,NZ Not Selected
644378,0.03,NEW ZEALAND,NZ Not Selected
644379,0.03,NEW ZEALAND,NZ Not Selected
644380,0.03,NEW ZEALAND,Wellington
644381,0.03,NEW ZEALAND,Wellington
644382,0.03,NEW ZEALAND,Wellington
644383,0.03,NEW ZEALAND,Wellington
644384,0.03,NEW ZEALAND,Wellington
644385,0.03,NEW ZEALAND,Wellington
644386,0.03,NEW ZEALAND,Wellington
644387,0.03,NEW ZEALAND,Wellington
644388,0.03,NEW ZEALAND,Wellington
644389,0.03,NEW ZEALAND,Wellington
644390,0.03,NEW ZEALAND,NZ Not Selected
644391,0.03,NEW ZEALAND,NZ Not Selected
644392,0.03,NEW ZEALAND,NZ Not Selected
644393,0.03,NEW ZEALAND,NZ Not Selected
644394,0.03,NEW ZEALAND,NZ Not Selected
644395,0.03,NEW ZEALAND,NZ Not Selected
644396,0.03,NEW ZEALAND,NZ Not Selected
644397,0.03,NEW ZEALAND,NZ Not Selected
644398,0.03,NEW ZEALAND,NZ Not Selected
644399,0.03,NEW ZEALAND,NZ Not Selected
6444000,0.03,NEW ZEALAND,Wellington
6444001,0.03,NEW ZEALAND,Wellington
6444002,0.03,NEW ZEALAND,Wellington
6444003,0.03,NEW ZEALAND,Wellington
6444004,0.03,NEW ZEALAND,Wellington
6444005,0.03,NEW ZEALAND,Wellington
6444006,0.03,NEW ZEALAND,Wellington
6444007,0.03,NEW ZEALAND,Wellington
6444008,0.03,NEW ZEALAND,Wellington
6444009,0.03,NEW ZEALAND,Wellington
644401,0.03,NEW ZEALAND,NZ Not Selected
644402,0.03,NEW ZEALAND,NZ Not Selected
644403,0.03,NEW ZEALAND,NZ Not Selected
644404,0.03,NEW ZEALAND,NZ Not Selected
644405,0.03,NEW ZEALAND,NZ Not Selected
644406,0.03,NEW ZEALAND,NZ Not Selected
644407,0.03,NEW ZEALAND,NZ Not Selected
644408,0.03,NEW ZEALAND,NZ Not Selected
644409,0.03,NEW ZEALAND,NZ Not Selected
644410,0.03,NEW ZEALAND,NZ Not Selected
644411,0.03,NEW ZEALAND,NZ Not Selected
644412,0.03,NEW ZEALAND,NZ Not Selected
644413,0.03,NEW ZEALAND,NZ Not Selected
644414,0.03,NEW ZEALAND,NZ Not Selected
644415,0.03,NEW ZEALAND,NZ Not Selected
644416,0.03,NEW ZEALAND,NZ Not Selected
644417,0.03,NEW ZEALAND,NZ Not Selected
644418,0.03,NEW ZEALAND,NZ Not Selected
644419,0.03,NEW ZEALAND,NZ Not Selected
644420,0.03,NEW ZEALAND,NZ Not Selected
644421,0.03,NEW ZEALAND,NZ Not Selected
644422,0.03,NEW ZEALAND,NZ Not Selected
644423,0.03,NEW ZEALAND,NZ Not Selected
644424,0.03,NEW ZEALAND,NZ Not Selected
644425,0.03,NEW ZEALAND,NZ Not Selected
644426,0.03,NEW ZEALAND,NZ Not Selected
644427,0.03,NEW ZEALAND,NZ Not Selected
644428,0.03,NEW ZEALAND,NZ Not Selected
644429,0.03,NEW ZEALAND,NZ Not Selected
644430,0.03,NEW ZEALAND,NZ Not Selected
644431,0.03,NEW ZEALAND,NZ Not Selected
644432,0.03,NEW ZEALAND,NZ Not Selected
644433,0.03,NEW ZEALAND,NZ Not Selected
644434,0.03,NEW ZEALAND,NZ Not Selected
644435,0.03,NEW ZEALAND,NZ Not Selected
644436,0.03,NEW ZEALAND,Wellington
644437,0.03,NEW ZEALAND,Wellington
644438,0.03,NEW ZEALAND,NZ Not Selected
644439,0.03,NEW ZEALAND,Wellington
644440,0.03,NEW ZEALAND,NZ Not Selected
644441,0.03,NEW ZEALAND,NZ Not Selected
644442,0.03,NEW ZEALAND,NZ Not Selected
644443,0.03,NEW ZEALAND,NZ Not Selected
644444,0.03,NEW ZEALAND,NZ Not Selected
644445,0.03,NEW ZEALAND,NZ Not Selected
644446,0.03,NEW ZEALAND,NZ Not Selected
644447,0.03,NEW ZEALAND,NZ Not Selected
644448,0.03,NEW ZEALAND,NZ Not Selected
644449,0.03,NEW ZEALAND,NZ Not Selected
644450,0.03,NEW ZEALAND,NZ Not Selected
644451,0.03,NEW ZEALAND,NZ Not Selected
644452,0.03,NEW ZEALAND,NZ Not Selected
644453,0.03,NEW ZEALAND,NZ Not Selected
644454,0.03,NEW ZEALAND,NZ Not Selected
644455,0.03,NEW ZEALAND,NZ Not Selected
644456,0.03,NEW ZEALAND,NZ Not Selected
644457,0.03,NEW ZEALAND,NZ Not Selected
644458,0.03,NEW ZEALAND,NZ Not Selected
644459,0.03,NEW ZEALAND,NZ Not Selected
644460,0.03,NEW ZEALAND,Wellington
644461,0.03,NEW ZEALAND,Wellington
644462,0.03,NEW ZEALAND,Wellington
644463,0.03,NEW ZEALAND,Wellington
644464,0.03,NEW ZEALAND,Wellington
644465,0.03,NEW ZEALAND,Wellington
644466,0.03,NEW ZEALAND,Wellington
644467,0.03,NEW ZEALAND,NZ Not Selected
644468,0.03,NEW ZEALAND,NZ Not Selected
644469,0.03,NEW ZEALAND,NZ Not Selected
644470,0.03,NEW ZEALAND,Wellington
644471,0.03,NEW ZEALAND,Wellington
644472,0.03,NEW ZEALAND,Wellington
644473,0.03,NEW ZEALAND,Wellington
644474,0.03,NEW ZEALAND,Wellington
644475,0.03,NEW ZEALAND,Wellington
644476,0.03,NEW ZEALAND,Wellington
644477,0.03,NEW ZEALAND,Wellington
644478,0.03,NEW ZEALAND,Wellington
644479,0.03,NEW ZEALAND,Wellington
644480,0.03,NEW ZEALAND,NZ Not Selected
644481,0.03,NEW ZEALAND,NZ Not Selected
644482,0.03,NEW ZEALAND,NZ Not Selected
644483,0.03,NEW ZEALAND,NZ Not Selected
644484,0.03,NEW ZEALAND,NZ Not Selected
644485,0.03,NEW ZEALAND,NZ Not Selected
644486,0.03,NEW ZEALAND,NZ Not Selected
644487,0.03,NEW ZEALAND,NZ Not Selected
644488,0.03,NEW ZEALAND,Wellington
644489,0.03,NEW ZEALAND,NZ Not Selected
644490,0.03,NEW ZEALAND,NZ Not Selected
644491,0.03,NEW ZEALAND,NZ Not Selected
644492,0.03,NEW ZEALAND,NZ Not Selected
644493,0.03,NEW ZEALAND,Wellington
644494,0.03,NEW ZEALAND,Wellington
644495,0.03,NEW ZEALAND,Wellington
644496,0.03,NEW ZEALAND,Wellington
644497,0.03,NEW ZEALAND,Wellington
644498,0.03,NEW ZEALAND,Wellington
644499,0.03,NEW ZEALAND,Wellington
644510,0.03,NEW ZEALAND,NZ Not Selected
644511,0.03,NEW ZEALAND,NZ Not Selected
644512,0.03,NEW ZEALAND,NZ Not Selected
644513,0.03,NEW ZEALAND,NZ Not Selected
644514,0.03,NEW ZEALAND,NZ Not Selected
644515,0.03,NEW ZEALAND,NZ Not Selected
644516,0.03,NEW ZEALAND,NZ Not Selected
644517,0.03,NEW ZEALAND,NZ Not Selected
644518,0.03,NEW ZEALAND,NZ Not Selected
644519,0.03,NEW ZEALAND,NZ Not Selected
644520,0.03,NEW ZEALAND,NZ Not Selected
644521,0.03,NEW ZEALAND,NZ Not Selected
644522,0.03,NEW ZEALAND,NZ Not Selected
644523,0.03,NEW ZEALAND,NZ Not Selected
644524,0.03,NEW ZEALAND,Wellington
644525,0.03,NEW ZEALAND,Wellington
644526,0.03,NEW ZEALAND,Wellington
644527,0.03,NEW ZEALAND,Wellington
644528,0.03,NEW ZEALAND,Wellington
644529,0.03,NEW ZEALAND,Wellington
644530,0.03,NEW ZEALAND,NZ Not Selected
644531,0.03,NEW ZEALAND,NZ Not Selected
644532,0.03,NEW ZEALAND,NZ Not Selected
644533,0.03,NEW ZEALAND,NZ Not Selected
644534,0.03,NEW ZEALAND,NZ Not Selected
644535,0.03,NEW ZEALAND,NZ Not Selected
644536,0.03,NEW ZEALAND,NZ Not Selected
644537,0.03,NEW ZEALAND,NZ Not Selected
644538,0.03,NEW ZEALAND,NZ Not Selected
644539,0.03,NEW ZEALAND,NZ Not Selected
644540,0.03,NEW ZEALAND,NZ Not Selected
644541,0.03,NEW ZEALAND,NZ Not Selected
644542,0.03,NEW ZEALAND,NZ Not Selected
644543,0.03,NEW ZEALAND,NZ Not Selected
644544,0.03,NEW ZEALAND,NZ Not Selected
644545,0.03,NEW ZEALAND,NZ Not Selected
644546,0.03,NEW ZEALAND,NZ Not Selected
644547,0.03,NEW ZEALAND,NZ Not Selected
644548,0.03,NEW ZEALAND,NZ Not Selected
644549,0.03,NEW ZEALAND,NZ Not Selected
644550,0.03,NEW ZEALAND,Wellington
644551,0.03,NEW ZEALAND,Paraparaumu
644552,0.03,NEW ZEALAND,NZ Not Selected
644553,0.03,NEW ZEALAND,NZ Not Selected
644554,0.03,NEW ZEALAND,NZ Not Selected
644555,0.03,NEW ZEALAND,NZ Not Selected
644556,0.03,NEW ZEALAND,NZ Not Selected
644557,0.03,NEW ZEALAND,NZ Not Selected
644558,0.03,NEW ZEALAND,NZ Not Selected
644559,0.03,NEW ZEALAND,NZ Not Selected
644560,0.03,NEW ZEALAND,Wellington
644561,0.03,NEW ZEALAND,Wellington
644562,0.03,NEW ZEALAND,Wellington
644563,0.03,NEW ZEALAND,Wellington
644564,0.03,NEW ZEALAND,Wellington
644565,0.03,NEW ZEALAND,Wellington
644566,0.03,NEW ZEALAND,Wellington
644567,0.03,NEW ZEALAND,Wellington
644568,0.03,NEW ZEALAND,Wellington
644569,0.03,NEW ZEALAND,Wellington
644570,0.03,NEW ZEALAND,Wellington
644571,0.03,NEW ZEALAND,Wellington
644572,0.03,NEW ZEALAND,Wellington
644573,0.03,NEW ZEALAND,NZ Not Selected
644574,0.03,NEW ZEALAND,NZ Not Selected
644575,0.03,NEW ZEALAND,NZ Not Selected
644576,0.03,NEW ZEALAND,Wellington
644577,0.03,NEW ZEALAND,Wellington
644578,0.03,NEW ZEALAND,NZ Not Selected
644579,0.03,NEW ZEALAND,NZ Not Selected
644580,0.03,NEW ZEALAND,NZ Not Selected
644581,0.03,NEW ZEALAND,NZ Not Selected
644582,0.03,NEW ZEALAND,NZ Not Selected
644583,0.03,NEW ZEALAND,NZ Not Selected
644584,0.03,NEW ZEALAND,NZ Not Selected
644585,0.03,NEW ZEALAND,NZ Not Selected
644586,0.03,NEW ZEALAND,Wellington
644587,0.03,NEW ZEALAND,Wellington
644588,0.03,NEW ZEALAND,NZ Not Selected
644589,0.03,NEW ZEALAND,Wellington
644590,0.03,NEW ZEALAND,Wellington
644591,0.03,NEW ZEALAND,NZ Not Selected
644592,0.03,NEW ZEALAND,NZ Not Selected
644593,0.03,NEW ZEALAND,NZ Not Selected
644594,0.03,NEW ZEALAND,NZ Not Selected
644595,0.03,NEW ZEALAND,NZ Not Selected
644596,0.03,NEW ZEALAND,NZ Not Selected
644597,0.03,NEW ZEALAND,NZ Not Selected
644598,0.03,NEW ZEALAND,NZ Not Selected
644599,0.03,NEW ZEALAND,NZ Not Selected
644600,0.03,NEW ZEALAND,NZ Not Selected
644601,0.03,NEW ZEALAND,NZ Not Selected
644602,0.03,NEW ZEALAND,NZ Not Selected
644603,0.03,NEW ZEALAND,NZ Not Selected
644604,0.03,NEW ZEALAND,NZ Not Selected
644605,0.03,NEW ZEALAND,NZ Not Selected
644606,0.03,NEW ZEALAND,NZ Not Selected
644607,0.03,NEW ZEALAND,NZ Not Selected
644608,0.03,NEW ZEALAND,NZ Not Selected
644609,0.03,NEW ZEALAND,NZ Not Selected
644610,0.03,NEW ZEALAND,NZ Not Selected
644611,0.03,NEW ZEALAND,NZ Not Selected
644612,0.03,NEW ZEALAND,NZ Not Selected
644613,0.03,NEW ZEALAND,NZ Not Selected
644614,0.03,NEW ZEALAND,NZ Not Selected
644615,0.03,NEW ZEALAND,NZ Not Selected
644616,0.03,NEW ZEALAND,NZ Not Selected
644617,0.03,NEW ZEALAND,NZ Not Selected
644618,0.03,NEW ZEALAND,NZ Not Selected
644619,0.03,NEW ZEALAND,Wellington
644620,0.03,NEW ZEALAND,NZ Not Selected
644621,0.03,NEW ZEALAND,NZ Not Selected
644622,0.03,NEW ZEALAND,NZ Not Selected
644623,0.03,NEW ZEALAND,NZ Not Selected
644624,0.03,NEW ZEALAND,NZ Not Selected
644625,0.03,NEW ZEALAND,NZ Not Selected
644626,0.03,NEW ZEALAND,NZ Not Selected
644627,0.03,NEW ZEALAND,NZ Not Selected
644628,0.03,NEW ZEALAND,NZ Not Selected
644629,0.03,NEW ZEALAND,NZ Not Selected
644630,0.03,NEW ZEALAND,NZ Not Selected
644631,0.03,NEW ZEALAND,NZ Not Selected
644632,0.03,NEW ZEALAND,NZ Not Selected
644633,0.03,NEW ZEALAND,NZ Not Selected
644634,0.03,NEW ZEALAND,NZ Not Selected
644635,0.03,NEW ZEALAND,NZ Not Selected
644636,0.03,NEW ZEALAND,NZ Not Selected
644637,0.03,NEW ZEALAND,NZ Not Selected
644638,0.03,NEW ZEALAND,NZ Not Selected
644639,0.03,NEW ZEALAND,NZ Not Selected
644640,0.03,NEW ZEALAND,NZ Not Selected
644641,0.03,NEW ZEALAND,NZ Not Selected
644642,0.03,NEW ZEALAND,NZ Not Selected
644643,0.03,NEW ZEALAND,NZ Not Selected
644644,0.03,NEW ZEALAND,NZ Not Selected
644645,0.03,NEW ZEALAND,NZ Not Selected
644646,0.03,NEW ZEALAND,NZ Not Selected
644647,0.03,NEW ZEALAND,NZ Not Selected
644648,0.03,NEW ZEALAND,NZ Not Selected
644649,0.03,NEW ZEALAND,NZ Not Selected
6446500,0.03,NEW ZEALAND,Wellington
6446501,0.03,NEW ZEALAND,Wellington
6446502,0.03,NEW ZEALAND,Wellington
6446503,0.03,NEW ZEALAND,Wellington
6446504,0.03,NEW ZEALAND,Wellington
6446505,0.03,NEW ZEALAND,Wellington
6446506,0.03,NEW ZEALAND,Wellington
6446507,0.03,NEW ZEALAND,Wellington
6446508,0.03,NEW ZEALAND,Wellington
6446509,0.03,NEW ZEALAND,Paraparaumu
644651,0.03,NEW ZEALAND,NZ Not Selected
644652,0.03,NEW ZEALAND,NZ Not Selected
644653,0.03,NEW ZEALAND,NZ Not Selected
644654,0.03,NEW ZEALAND,NZ Not Selected
644655,0.03,NEW ZEALAND,NZ Not Selected
644656,0.03,NEW ZEALAND,NZ Not Selected
644657,0.03,NEW ZEALAND,NZ Not Selected
644658,0.03,NEW ZEALAND,NZ Not Selected
644659,0.03,NEW ZEALAND,NZ Not Selected
644660,0.03,NEW ZEALAND,NZ Not Selected
644661,0.03,NEW ZEALAND,NZ Not Selected
644662,0.03,NEW ZEALAND,NZ Not Selected
644663,0.03,NEW ZEALAND,NZ Not Selected
644664,0.03,NEW ZEALAND,NZ Not Selected
644665,0.03,NEW ZEALAND,NZ Not Selected
644666,0.03,NEW ZEALAND,NZ Not Selected
644667,0.03,NEW ZEALAND,NZ Not Selected
644668,0.03,NEW ZEALAND,NZ Not Selected
644669,0.03,NEW ZEALAND,NZ Not Selected
644670,0.03,NEW ZEALAND,NZ Not Selected
644671,0.03,NEW ZEALAND,NZ Not Selected
644672,0.03,NEW ZEALAND,NZ Not Selected
644673,0.03,NEW ZEALAND,NZ Not Selected
644674,0.03,NEW ZEALAND,NZ Not Selected
644675,0.03,NEW ZEALAND,NZ Not Selected
644676,0.03,NEW ZEALAND,NZ Not Selected
644677,0.03,NEW ZEALAND,NZ Not Selected
644678,0.03,NEW ZEALAND,NZ Not Selected
644679,0.03,NEW ZEALAND,NZ Not Selected
644680,0.03,NEW ZEALAND,NZ Not Selected
644681,0.03,NEW ZEALAND,NZ Not Selected
644682,0.03,NEW ZEALAND,NZ Not Selected
644683,0.03,NEW ZEALAND,NZ Not Selected
644684,0.03,NEW ZEALAND,NZ Not Selected
644685,0.03,NEW ZEALAND,NZ Not Selected
644686,0.03,NEW ZEALAND,NZ Not Selected
644687,0.03,NEW ZEALAND,NZ Not Selected
644688,0.03,NEW ZEALAND,NZ Not Selected
644689,0.03,NEW ZEALAND,NZ Not Selected
644690,0.03,NEW ZEALAND,NZ Not Selected
644691,0.03,NEW ZEALAND,NZ Not Selected
644692,0.03,NEW ZEALAND,NZ Not Selected
644693,0.03,NEW ZEALAND,NZ Not Selected
644694,0.03,NEW ZEALAND,NZ Not Selected
644695,0.03,NEW ZEALAND,NZ Not Selected
644696,0.03,NEW ZEALAND,NZ Not Selected
644697,0.03,NEW ZEALAND,NZ Not Selected
644698,0.03,NEW ZEALAND,NZ Not Selected
644699,0.03,NEW ZEALAND,NZ Not Selected
644700,0.03,NEW ZEALAND,NZ Not Selected
644701,0.03,NEW ZEALAND,NZ Not Selected
644702,0.03,NEW ZEALAND,NZ Not Selected
644703,0.03,NEW ZEALAND,NZ Not Selected
644704,0.03,NEW ZEALAND,NZ Not Selected
644705,0.03,NEW ZEALAND,NZ Not Selected
644706,0.03,NEW ZEALAND,NZ Not Selected
644707,0.03,NEW ZEALAND,NZ Not Selected
644708,0.03,NEW ZEALAND,NZ Not Selected
644709,0.03,NEW ZEALAND,NZ Not Selected
644710,0.03,NEW ZEALAND,NZ Not Selected
644711,0.03,NEW ZEALAND,NZ Not Selected
644712,0.03,NEW ZEALAND,NZ Not Selected
644713,0.03,NEW ZEALAND,NZ Not Selected
644714,0.03,NEW ZEALAND,NZ Not Selected
644715,0.03,NEW ZEALAND,NZ Not Selected
644716,0.03,NEW ZEALAND,NZ Not Selected
644717,0.03,NEW ZEALAND,NZ Not Selected
644718,0.03,NEW ZEALAND,NZ Not Selected
644719,0.03,NEW ZEALAND,NZ Not Selected
644720,0.03,NEW ZEALAND,NZ Not Selected
644721,0.03,NEW ZEALAND,NZ Not Selected
644722,0.03,NEW ZEALAND,NZ Not Selected
644723,0.03,NEW ZEALAND,NZ Not Selected
644724,0.03,NEW ZEALAND,NZ Not Selected
644725,0.03,NEW ZEALAND,NZ Not Selected
644726,0.03,NEW ZEALAND,NZ Not Selected
644727,0.03,NEW ZEALAND,NZ Not Selected
644728,0.03,NEW ZEALAND,NZ Not Selected
644729,0.03,NEW ZEALAND,NZ Not Selected
644730,0.03,NEW ZEALAND,NZ Not Selected
644731,0.03,NEW ZEALAND,NZ Not Selected
644732,0.03,NEW ZEALAND,NZ Not Selected
644733,0.03,NEW ZEALAND,NZ Not Selected
644734,0.03,NEW ZEALAND,NZ Not Selected
644735,0.03,NEW ZEALAND,NZ Not Selected
644736,0.03,NEW ZEALAND,NZ Not Selected
644737,0.03,NEW ZEALAND,NZ Not Selected
644738,0.03,NEW ZEALAND,NZ Not Selected
644739,0.03,NEW ZEALAND,NZ Not Selected
644740,0.03,NEW ZEALAND,NZ Not Selected
644741,0.03,NEW ZEALAND,NZ Not Selected
644742,0.03,NEW ZEALAND,NZ Not Selected
644743,0.03,NEW ZEALAND,NZ Not Selected
644744,0.03,NEW ZEALAND,NZ Not Selected
644745,0.03,NEW ZEALAND,NZ Not Selected
644746,0.03,NEW ZEALAND,NZ Not Selected
644747,0.03,NEW ZEALAND,NZ Not Selected
644748,0.03,NEW ZEALAND,NZ Not Selected
644749,0.03,NEW ZEALAND,NZ Not Selected
644750,0.03,NEW ZEALAND,NZ Not Selected
644751,0.03,NEW ZEALAND,NZ Not Selected
644752,0.03,NEW ZEALAND,NZ Not Selected
644753,0.03,NEW ZEALAND,NZ Not Selected
644754,0.03,NEW ZEALAND,NZ Not Selected
644755,0.03,NEW ZEALAND,NZ Not Selected
644756,0.03,NEW ZEALAND,NZ Not Selected
644757,0.03,NEW ZEALAND,NZ Not Selected
644758,0.03,NEW ZEALAND,NZ Not Selected
644759,0.03,NEW ZEALAND,NZ Not Selected
644760,0.03,NEW ZEALAND,NZ Not Selected
644761,0.03,NEW ZEALAND,NZ Not Selected
644762,0.03,NEW ZEALAND,NZ Not Selected
644763,0.03,NEW ZEALAND,NZ Not Selected
644764,0.03,NEW ZEALAND,NZ Not Selected
644765,0.03,NEW ZEALAND,NZ Not Selected
644766,0.03,NEW ZEALAND,NZ Not Selected
644767,0.03,NEW ZEALAND,NZ Not Selected
644768,0.03,NEW ZEALAND,NZ Not Selected
644769,0.03,NEW ZEALAND,NZ Not Selected
644770,0.03,NEW ZEALAND,NZ Not Selected
644771,0.03,NEW ZEALAND,NZ Not Selected
644772,0.03,NEW ZEALAND,NZ Not Selected
644773,0.03,NEW ZEALAND,NZ Not Selected
644774,0.03,NEW ZEALAND,NZ Not Selected
644775,0.03,NEW ZEALAND,NZ Not Selected
644776,0.03,NEW ZEALAND,NZ Not Selected
644777,0.03,NEW ZEALAND,NZ Not Selected
644778,0.03,NEW ZEALAND,NZ Not Selected
644779,0.03,NEW ZEALAND,NZ Not Selected
644780,0.03,NEW ZEALAND,NZ Not Selected
644781,0.03,NEW ZEALAND,NZ Not Selected
644782,0.03,NEW ZEALAND,NZ Not Selected
644783,0.03,NEW ZEALAND,NZ Not Selected
644784,0.03,NEW ZEALAND,NZ Not Selected
644785,0.03,NEW ZEALAND,NZ Not Selected
644786,0.03,NEW ZEALAND,NZ Not Selected
644787,0.03,NEW ZEALAND,NZ Not Selected
644788,0.03,NEW ZEALAND,NZ Not Selected
644789,0.03,NEW ZEALAND,NZ Not Selected
644790,0.03,NEW ZEALAND,NZ Not Selected
644791,0.03,NEW ZEALAND,NZ Not Selected
644792,0.03,NEW ZEALAND,NZ Not Selected
644793,0.03,NEW ZEALAND,NZ Not Selected
644794,0.03,NEW ZEALAND,NZ Not Selected
644795,0.03,NEW ZEALAND,NZ Not Selected
644796,0.03,NEW ZEALAND,NZ Not Selected
644797,0.03,NEW ZEALAND,NZ Not Selected
644798,0.03,NEW ZEALAND,NZ Not Selected
644799,0.03,NEW ZEALAND,NZ Not Selected
644800,0.03,NEW ZEALAND,NZ Not Selected
644801,0.03,NEW ZEALAND,Wellington
644802,0.03,NEW ZEALAND,Wellington
644803,0.03,NEW ZEALAND,Wellington
644804,0.03,NEW ZEALAND,Wellington
644805,0.03,NEW ZEALAND,Wellington
644806,0.03,NEW ZEALAND,Wellington
644807,0.03,NEW ZEALAND,NZ Not Selected
644808,0.03,NEW ZEALAND,NZ Not Selected
644809,0.03,NEW ZEALAND,NZ Not Selected
644810,0.03,NEW ZEALAND,Wellington
644811,0.03,NEW ZEALAND,NZ Not Selected
644812,0.03,NEW ZEALAND,NZ Not Selected
644813,0.03,NEW ZEALAND,NZ Not Selected
644814,0.03,NEW ZEALAND,NZ Not Selected
644815,0.03,NEW ZEALAND,Wellington
644816,0.03,NEW ZEALAND,Wellington
644817,0.03,NEW ZEALAND,Wellington
644818,0.03,NEW ZEALAND,Wellington
644819,0.03,NEW ZEALAND,Wellington
644820,0.03,NEW ZEALAND,NZ Not Selected
644821,0.03,NEW ZEALAND,NZ Not Selected
644822,0.03,NEW ZEALAND,NZ Not Selected
644823,0.03,NEW ZEALAND,NZ Not Selected
644824,0.03,NEW ZEALAND,NZ Not Selected
644825,0.03,NEW ZEALAND,NZ Not Selected
644826,0.03,NEW ZEALAND,NZ Not Selected
644827,0.03,NEW ZEALAND,NZ Not Selected
644828,0.03,NEW ZEALAND,NZ Not Selected
644829,0.03,NEW ZEALAND,NZ Not Selected
644830,0.03,NEW ZEALAND,Wellington
644831,0.03,NEW ZEALAND,Wellington
644832,0.03,NEW ZEALAND,Wellington
644833,0.03,NEW ZEALAND,Wellington
644834,0.03,NEW ZEALAND,Paraparaumu
644835,0.03,NEW ZEALAND,Wellington
644836,0.03,NEW ZEALAND,Wellington
644837,0.03,NEW ZEALAND,Wellington
644838,0.03,NEW ZEALAND,Wellington
644839,0.03,NEW ZEALAND,Wellington
644840,0.03,NEW ZEALAND,NZ Not Selected
644841,0.03,NEW ZEALAND,NZ Not Selected
644842,0.03,NEW ZEALAND,NZ Not Selected
644843,0.03,NEW ZEALAND,NZ Not Selected
644844,0.03,NEW ZEALAND,NZ Not Selected
644845,0.03,NEW ZEALAND,NZ Not Selected
644846,0.03,NEW ZEALAND,NZ Not Selected
644847,0.03,NEW ZEALAND,NZ Not Selected
644848,0.03,NEW ZEALAND,NZ Not Selected
644849,0.03,NEW ZEALAND,NZ Not Selected
644850,0.03,NEW ZEALAND,NZ Not Selected
644851,0.03,NEW ZEALAND,NZ Not Selected
644852,0.03,NEW ZEALAND,NZ Not Selected
644853,0.03,NEW ZEALAND,NZ Not Selected
644854,0.03,NEW ZEALAND,NZ Not Selected
644855,0.03,NEW ZEALAND,NZ Not Selected
644856,0.03,NEW ZEALAND,NZ Not Selected
644857,0.03,NEW ZEALAND,NZ Not Selected
644858,0.03,NEW ZEALAND,NZ Not Selected
644859,0.03,NEW ZEALAND,NZ Not Selected
644860,0.03,NEW ZEALAND,NZ Not Selected
644861,0.03,NEW ZEALAND,NZ Not Selected
644862,0.03,NEW ZEALAND,NZ Not Selected
644863,0.03,NEW ZEALAND,NZ Not Selected
644864,0.03,NEW ZEALAND,NZ Not Selected
644865,0.03,NEW ZEALAND,NZ Not Selected
644866,0.03,NEW ZEALAND,NZ Not Selected
644867,0.03,NEW ZEALAND,NZ Not Selected
644868,0.03,NEW ZEALAND,NZ Not Selected
644869,0.03,NEW ZEALAND,NZ Not Selected
644870,0.03,NEW ZEALAND,NZ Not Selected
644871,0.03,NEW ZEALAND,NZ Not Selected
644872,0.03,NEW ZEALAND,NZ Not Selected
644873,0.03,NEW ZEALAND,NZ Not Selected
644874,0.03,NEW ZEALAND,NZ Not Selected
644875,0.03,NEW ZEALAND,NZ Not Selected
644876,0.03,NEW ZEALAND,NZ Not Selected
644877,0.03,NEW ZEALAND,NZ Not Selected
644878,0.03,NEW ZEALAND,NZ Not Selected
644879,0.03,NEW ZEALAND,NZ Not Selected
644880,0.03,NEW ZEALAND,NZ Not Selected
644881,0.03,NEW ZEALAND,NZ Not Selected
644882,0.03,NEW ZEALAND,NZ Not Selected
644883,0.03,NEW ZEALAND,NZ Not Selected
644884,0.03,NEW ZEALAND,NZ Not Selected
644885,0.03,NEW ZEALAND,NZ Not Selected
644886,0.03,NEW ZEALAND,NZ Not Selected
644887,0.03,NEW ZEALAND,Wellington
6448880,0.03,NEW ZEALAND,Paraparaumu
6448881,0.03,NEW ZEALAND,NZ Not Selected
6448882,0.03,NEW ZEALAND,NZ Not Selected
6448883,0.03,NEW ZEALAND,NZ Not Selected
6448884,0.03,NEW ZEALAND,NZ Not Selected
6448885,0.03,NEW ZEALAND,NZ Not Selected
6448886,0.03,NEW ZEALAND,NZ Not Selected
6448887,0.03,NEW ZEALAND,NZ Not Selected
6448888,0.03,NEW ZEALAND,NZ Not Selected
6448889,0.03,NEW ZEALAND,NZ Not Selected
644889,0.03,NEW ZEALAND,Wellington
644890,0.03,NEW ZEALAND,Wellington
644891,0.03,NEW ZEALAND,Wellington
644892,0.03,NEW ZEALAND,Paraparaumu
644893,0.03,NEW ZEALAND,Wellington
644894,0.03,NEW ZEALAND,Wellington
6448950,0.03,NEW ZEALAND,Paraparaumu
6448951,0.03,NEW ZEALAND,Paraparaumu
6448952,0.03,NEW ZEALAND,Paraparaumu
6448953,0.03,NEW ZEALAND,Paraparaumu
6448954,0.03,NEW ZEALAND,Paraparaumu
6448955,0.03,NEW ZEALAND,Paraparaumu
6448956,0.03,NEW ZEALAND,NZ Not Selected
6448957,0.03,NEW ZEALAND,NZ Not Selected
